model,size_kb,latency_ms,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,kappa,
TF_TRANSFORMER_FP32,2474.407227,108.2031965,96.77118328,95.25854844,95.73641527,95.25854844,95.4581609,96.80274998,96.77118328,96.76263418,95.57997521,95.57213054,
TFLITE_TRANSFORMER_FP32,295.1992188,0.217828801,96.77118328,95.25854844,95.73641527,95.25854844,95.4581609,96.80274998,96.77118328,96.76263418,95.57997521,95.57213054,
TFLITE_TRANSFORMER_FP16,163.6289063,0.2146548,96.7525196,95.23131532,95.72536313,95.23131532,95.43962744,96.78233,96.7525196,96.74344993,95.55400436,95.54622233,
TFLITE_TRANSFORMER_INT8_DYNAMIC,110.0546875,0.858034,96.78984696,95.25186608,95.77073264,95.25186608,95.4738589,96.81362647,96.78984696,96.77871166,95.60438575,95.59699028,
TFLITE_TRANSFORMER_INT8_FULL,116.5234375,9.730445201,96.77118328,95.22463297,95.68775306,95.22463297,95.42136612,96.78966216,96.77118328,96.75898461,95.57841346,95.57149379,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,100
